Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-04-01,2848.63,2869.4,2848.63,2867.19,1944866667
2019-04-02,2868.24,2872.9,2858.75,2867.24,1803833333
2019-04-03,2876.09,2885.25,2865.17,2873.4,1972355556
2019-04-04,2873.99,2881.28,2867.14,2879.39,1675100000
2019-04-05,2884.16,2893.24,2882.99,2892.74,1748233333
2019-04-08,2888.46,2895.95,2880.78,2895.77,1696683333
2019-04-09,2886.58,2886.88,2873.33,2878.2,1671100000
2019-04-10,2881.37,2889.71,2879.13,2888.21,1701322222
2019-04-11,2891.92,2893.42,2881.99,2888.32,1632522222
2019-04-12,2900.86,2910.54,2898.37,2907.41,2049161111
2019-04-15,2908.32,2909.6,2896.48,2905.58,1715738889
2019-04-16,2912.26,2916.06,2900.71,2907.06,1890116667
2019-04-17,2916.04,2918,2895.45,2900.45,2001277778
2019-04-18,2904.81,2908.4,2891.9,2905.03,1948250000
2019-04-22,2898.78,2909.51,2896.35,2907.97,1665527778
2019-04-23,2909.99,2936.31,2908.53,2933.68,2019461111
2019-04-24,2934,2936.83,2926.05,2927.25,1916088889
2019-04-25,2928.99,2933.1,2912.84,2926.17,1902933333
2019-04-26,2925.81,2939.88,2917.56,2939.88,1804722222
2019-04-29,2940.58,2949.52,2939.35,2943.03,1732655556
2019-04-30,2937.14,2948.22,2924.11,2945.83,2177405556
2019-05-01,2952.33,2954.13,2923.36,2923.73,2025472222
2019-05-02,2922.16,2931.68,2900.5,2917.52,2099383333
2019-05-03,2929.21,2947.85,2929.21,2945.64,1854511111
2019-05-06,2908.89,2937.32,2898.21,2932.47,1767511111
2019-05-07,2913.03,2913.03,2862.6,2884.05,2092833333
2019-05-08,2879.61,2897.96,2873.28,2879.42,1936550000
2019-05-09,2859.84,2875.97,2836.4,2870.72,2021566667
2019-05-10,2863.1,2891.31,2825.39,2881.4,1960888889
2019-05-13,2840.19,2840.19,2801.43,2811.87,2163350000
2019-05-14,2820.12,2852.54,2820.12,2834.41,1845955556
2019-05-15,2820.38,2858.68,2815.08,2850.96,1736638889
2019-05-16,2855.8,2892.15,2855.8,2876.32,1854477778
2019-05-17,2858.6,2885.48,2854.23,2859.53,1809972222
2019-05-20,2841.94,2853.86,2831.29,2840.23,1827150000
2019-05-21,2854.02,2868.88,2854.02,2864.36,1788166667
2019-05-22,2856.06,2865.47,2851.11,2856.27,1773616667
2019-05-23,2836.7,2836.7,2805.49,2822.24,2162211111
2019-05-24,2832.41,2841.36,2820.19,2826.06,1604105556
2019-05-28,2830.03,2840.51,2801.58,2802.39,2289672222
2019-05-29,2790.25,2792.03,2766.06,2783.02,2055583333
2019-05-30,2786.94,2799,2776.74,2788.86,1818772222
2019-05-31,2766.15,2768.98,2750.52,2752.06,2211677778
2019-06-03,2751.53,2763.07,2728.81,2744.45,2191005556
2019-06-04,2762.64,2804.49,2762.64,2803.27,2116905556
2019-06-05,2818.09,2827.28,2800.92,2826.15,1971572222
2019-06-06,2828.51,2852.1,2822.45,2843.49,1886894444
2019-06-07,2852.87,2884.97,2852.87,2873.34,1789027778
2019-06-10,2885.83,2904.77,2885.51,2886.73,1782894444
2019-06-11,2903.27,2910.61,2878.53,2885.72,1971344444
2019-06-12,2882.73,2888.57,2874.68,2879.84,1685627778
2019-06-13,2886.24,2895.24,2881.99,2891.64,1705450000
2019-06-14,2886.82,2894.45,2879.62,2886.98,1623516667
2019-06-17,2889.75,2897.27,2887.3,2889.67,1561188889
2019-06-18,2906.71,2930.79,2905.44,2917.75,1909788889
2019-06-19,2920.55,2931.74,2911.43,2926.46,1826605556
2019-06-20,2949.6,2958.06,2931.5,2954.18,2169966667
2019-06-21,2952.71,2964.15,2946.87,2950.46,2777844444
2019-06-24,2951.42,2954.92,2944.05,2945.35,1742361111
2019-06-25,2945.78,2946.52,2916.01,2917.38,1987805556
2019-06-26,2926.07,2932.59,2912.99,2913.78,1932294444
2019-06-27,2919.66,2929.3,2918.57,2924.92,1734955556
2019-06-28,2932.94,2943.98,2929.05,2941.76,3011500000
2019-07-01,2971.41,2977.93,2952.22,2964.33,1951816667
2019-07-02,2964.66,2973.21,2955.92,2973.01,1781577778
2019-07-03,2978.08,2995.84,2977.96,2995.82,1090955556
2019-07-05,2984.25,2994.03,2967.97,2990.41,1352338889
2019-07-08,2979.77,2980.76,2970.09,2975.95,1613638889
2019-07-09,2965.52,2981.9,2963.44,2979.63,1682338889
2019-07-10,2989.3,3002.98,2984.62,2993.07,1752355556
2019-07-11,2999.62,3002.33,2988.8,2999.91,1752566667
2019-07-12,3003.36,3013.92,3001.87,3013.77,1652755556
2019-07-15,3017.8,3017.8,3008.77,3014.3,1597205556
2019-07-16,3012.13,3015.02,3001.15,3004.04,1828138889
2019-07-17,3005.1,3005.26,2984.25,2984.42,1767555556
2019-07-18,2978.87,2998.28,2973.09,2995.11,1831433333
2019-07-19,3004.26,3006.02,2975.86,2976.61,1811311111
2019-07-22,2981.93,2990.71,2976.65,2985.03,1668733333
2019-07-23,2994.74,3005.9,2988.56,3005.47,1840922222
2019-07-24,2998.77,3019.59,2996.82,3019.56,1904988889
2019-07-25,3016.26,3016.31,2997.24,3003.67,2025150000
2019-07-26,3013.25,3027.98,3012.59,3025.86,1809772222
2019-07-29,3024.47,3025.61,3014.3,3020.97,1779838889
2019-07-30,3007.66,3017.19,3000.94,3013.18,2019072222
2019-07-31,3016.22,3017.4,2958.08,2980.38,2568572222
2019-08-01,2980.32,3013.59,2945.23,2953.56,2645722222
2019-08-02,2943.9,2945.5,2914.11,2932.05,2152588889
2019-08-05,2898.07,2898.07,2822.12,2844.74,2507627778
2019-08-06,2861.18,2884.4,2847.42,2881.77,2307911111
2019-08-07,2858.65,2892.17,2825.71,2883.98,2495416667
2019-08-08,2896.21,2938.72,2894.47,2938.09,2281316667
